New York Snow Depth, January 2018
"GHCN ID","Station Name",County,Elevation,Latitude,Longitude,"Jan 1","Jan 2","Jan 3","Jan 4","Jan 5","Jan 6","Jan 7","Jan 8","Jan 9"
US1NYTM0003,"ITHACA 1.1 SE","TOMPKINS",650,-76.49,42.43,2.5,3.5,3.0,3.0,4.0,4.0,3.5,3.5,M
USC00304174,"ITHACA CORNELL UNIV","TOMPKINS",960,-76.45,42.45,M,4.0,4.0,3.0,4.0,4.0,4.0,4.0,M
US1NYSF0007,"JAMESPORT 0.6 SSW","SUFFOLK",20,-72.58,40.94,M,M,M,M,11.0,M,M,M,M
USC00304207,"JAMESTOWN 4 ENE","CHAUTAUQUA",1250,-79.16,42.11,8.0,11.0,10.0,10.0,12.0,11.0,11.0,10.0,M
USW00094789,"JFK INTL AP","QUEENS",11,-73.76,40.64,0.0,0.0,0.0,1.2,7.9,7.9,M,M,M
US1NYES0009,"KEENE VALLEY 2.5 NE","ESSEX",1965,-73.75,44.22,M,M,M,8.0,11.5,11.0,11.0,12.0,M
US1NYES0007,"KEESEVILLE 0.8 SE","ESSEX",528,-73.47,44.49,7.5,7.5,8.0,8.0,9.0,9.0,9.0,10.0,M
US1NYER0059,"KENMORE 0.3 ESE","ERIE",612,-78.87,42.96,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,M
US1NYER0057,"KENMORE 0.8 NW","ERIE",607,-78.88,42.97,M,M,5.5,M,M,M,M,M,M
US1NYUL0001,"KINGSTON 1.1 W","ULSTER",190,-74.02,41.93,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,M
US1NYUL0022,"KINGSTON 2.1 N","ULSTER",183,-74.00,41.96,2.0,M,2.0,2.0,5.0,4.0,3.0,3.0,M
USW00014732,"LA GUARDIA AP","QUEENS",11,-73.88,40.78,0.0,0.0,0.0,1.2,7.1,7.1,M,M,M
US1NYDT0012,"LAGRANGEVILLE 3.4 NE","DUTCHESS",648,-73.72,41.68,3.0,3.0,3.0,3.0,9.0,8.0,8.0,8.0,M
US1NYSF0063,"LAKE GROVE 1.2 SSW","SUFFOLK",104,-73.12,40.84,M,M,M,2.0,11.5,M,M,M,M
USC00304564,"LAKEVILLE 1W","ERIE",676,-78.95,42.71,M,6.0,6.0,7.0,6.0,M,5.0,M,M
USC00304575,"LANSING MANOR","SCHOHARIE",1100,-74.47,42.45,M,M,0.0,0.0,2.0,M,4.0,0.0,M
US1NYOT0025,"LAURENS 5.5 W","OTSEGO",1704,-75.20,42.52,M,M,M,M,4.5,4.5,M,M,M
USC00304808,"LITTLE VALLEY","CATTARAUGUS",1625,-78.81,42.25,10.0,12.0,11.0,11.0,11.0,13.0,12.0,12.0,M
US1NYCB0008,"LIVINGSTON 0.7 SSW","COLUMBIA",242,-73.79,42.13,M,M,M,M,3.0,M,M,M,M
US1NYNG0012,"LOCKPORT 0.8 NE","NIAGARA",521,-78.68,43.18,9.0,9.0,9.0,9.0,10.0,11.0,10.5,10.0,M
US1NYNG0027,"LOCKPORT 2.8 WNW","NIAGARA",458,-78.74,43.19,M,M,M,M,M,M,0.2,M,M
USC00304844,"LOCKPORT 4E","NIAGARA",610,-78.61,43.19,7.0,7.0,6.0,6.0,7.0,7.0,7.0,M,M
US1NYSV0006,"LONG EDDY","SULLIVAN",879,-75.13,41.85,2.3,2.3,2.0,2.0,4.0,M,3.5,M,M
US1NYDL0023,"LONG EDDY 6.5 NNE","DELAWARE",1746,-75.08,41.94,4.0,4.0,4.0,M,M,6.0,6.0,5.5,M
US1NYHM0006,"LONG LAKE 0.1 SSE","HAMILTON",1662,-74.42,43.97,M,M,11.5,M,M,M,M,M,M
USC00304912,"LOWVILLE","LEWIS",863,-75.48,43.79,17.0,18.0,M,20.0,19.0,18.0,17.0,17.0,M
US1NYNS0014,"LYNBROOK 0.3 NW","NASSAU",23,-73.68,40.66,M,M,M,M,M,13.4,M,11.6,M
US1NYWN0018,"MACEDON 2.6 ESE","WAYNE",516,-77.26,43.05,7.4,7.1,6.7,6.1,7.6,7.6,8.2,6.4,M
USC00304996,"MALONE","FRANKLIN",880,-74.31,44.84,10.0,10.0,M,10.0,15.0,17.0,16.0,17.0,M
US1NYCR0005,"MARATHON 1.0 NW","CORTLAND",1030,-76.04,42.45,4.0,4.3,4.3,4.5,5.0,5.5,5.5,5.0,M
US1NYWN0009,"MARION 2.0 NE","WAYNE",478,-77.17,43.17,M,M,11.5,11.0,16.5,M,M,15.1,M
USW00094725,"MASSENA INTL AP","ST. LAWRENCE",214,-74.85,44.94,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M
USC00305233,"MECKLENBURG 4SW","SCHUYLER",1509,-76.76,42.44,4.0,5.0,5.0,5.0,8.0,8.0,M,7.0,M
US1NYOL0005,"MEDINA 0.4 WNW","ORLEANS",540,-78.40,43.22,5.0,5.5,5.5,5.0,6.0,7.0,6.5,6.5,M
US1NYYT0008,"MIDDLESEX 3.5 S","YATES",940,-77.27,42.65,6.0,5.5,5.5,5.0,5.5,5.5,5.5,5.0,M
US1NYDT0008,"MILLBROOK 3.2 SE","DUTCHESS",1024,-73.65,41.75,M,M,3.0,3.0,9.0,M,7.5,M,M
US1NYOS0015,"MINETTO 0.1 SE","OSWEGO",351,-76.48,43.40,17.5,20.0,17.5,17.0,16.0,14.0,14.0,14.0,M
USC00305512,"MORRISVILLE 6 SW","MADISON",1681,-75.73,42.84,M,M,M,M,16.0,M,M,M,M
USC00305597,"MOUNT MORRIS 2 W","LIVINGSTON",880,-77.91,42.73,M,5.0,4.0,3.0,3.0,3.0,M,3.0,M
