Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28
0.8,.005,.005,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.2,0.0,1.9,0.0,.005,1.3,0.0,0.0,0,0,0,0,0,0.0,0,.005,0.0,0.0
.005,.005,.005,0.0,0.0,0.0,0.0,0.0,2.5,0.0,.005,0.0,0.5,NA,NA,0.6,0.0,0.0,0,0,0,NA,0,NA,0,NA,0.0,NA
.005,NA,NA,NA,0.0,.005,NA,0.0,3.0,.005,0.2,0.0,1.5,.005,NA,1.7,.005,0.0,0,NA,0,0,0,0.0,0,.005,.005,0.0
2.2,.005,.005,0.2,0.0,.005,0.0,0.0,.005,0.4,0.2,0.0,.005,0.0,1.0,0.8,0.0,0.0,0,0,0,0,0,0.0,0,0.1,.005,0.0
1.8,1.4,4.7,5.1,.005,0.7,.005,.005,1.0,0.4,1.4,0.0,8.7,2.4,0.0,3.4,0.9,0.0,0,0,0,0,0,0.0,0,.005,.005,0.0
3.5,.005,.005,1.0,0.0,0.6,0.0,0.0,4.0,4.0,1.2,.005,11.0,2.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,0,0.5,.005,0.0
2.3,NA,.005,1.1,NA,0.1,NA,NA,3.5,3.5,0.7,0.2,8.7,1.3,0.0,1.2,NA,.005,0,0,0,NA,0,0.0,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.0,NA,1.2,0.0,0.0,0,0,0,0,0,0.0,0,0.2,NA,NA
4.6,2.2,.005,0.2,0.1,0.1,0.0,0.0,0.4,0.0,0.9,0.0,0.3,0.0,0.3,4.6,0.3,0.0,0,0,0,NA,NA,NA,NA,0.4,0.0,0.0
3.5,3.0,NA,.005,.005,0.0,0.0,0.0,0.2,.005,NA,NA,0.2,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,.005,NA,NA
NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,.005,0.8,.005,NA,.005,0.0,0.0,4.8,NA,0.8,NA,NA,2.2,.005,5.3,0.2,0.0,0,0,NA,0,NA,0.0,0,NA,NA,0.0
2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.9,1.6,0.0,6.8,0.0,0.0,0.2,0.1,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
